playerID,yearID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,teamID,lgID,birthYear,nameFirst,nameLast,weight,height,PA,AVG,OBP,SLG,OPS,ISO,BABIP,BB_pct,K_pct,BMI,age,name,OPS_avg_available,trend_slope,trend_diff,volatility_std,volatility_cv,years_data,is_rookie,BMI_age_interaction,age_HR_interaction,BMI_SB_interaction,age_squared,debut_year,experience,is_peak_years,bats_B,bats_L,bats_R,POS_1B,POS_2B,POS_3B,POS_C,POS_DH,POS_OF,POS_P,POS_SS,ISO_era_adjusted,BB_pct_era_adjusted,K_pct_era_adjusted,SB_era_adjusted,BABIP_era_adjusted,BMI_era_adjusted,age_era_adjusted,cluster
aaronha01,1954,122,0.0,468,58,131,27,6,13,69.0,2.0,2.0,28,39.0,0.0,3.0,6.0,4.0,13.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,509.0,0.2799145299145299,0.3220675944333996,0.4465811965811966,0.7686487910145963,0.1666666666666666,0.2809523809523809,0.0550098231827112,0.0766208251473477,24.41211826868098,20.0,Hank Aaron,0.7344215351173983,-0.0742225323488173,-0.0504827801454329,0.0692806457451887,0.0943336250810158,23,False,488.2423653736196,260.0,48.82423653736196,400.0,1954,0,0,False,False,True,False,False,False,False,False,True,False,False,0.02991122140779104,-0.04329243650472817,-0.01753714534023948,-2.025806451612903,0.00034573415610861247,-0.3404242650291529,20.0,4
aaronha01,1955,153,0.0,602,105,189,37,9,27,106.0,3.0,1.0,49,61.0,5.0,3.0,7.0,4.0,20.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,665.0,0.313953488372093,0.3662613981762918,0.5398671096345515,0.9061285078108432,0.2259136212624585,0.3127413127413127,0.0736842105263157,0.0917293233082706,24.41211826868098,21.0,Hank Aaron,0.7344215351173983,-0.0742225323488173,-0.0504827801454329,0.0692806457451887,0.0943336250810158,23,False,512.6544836423006,567.0,73.23635480604294,441.0,1954,1,0,False,False,True,False,False,False,False,False,True,False,False,0.08057302647595102,-0.025899745365536728,-0.009545280866167405,-0.9290322580645163,0.037647107713765726,-0.4817714823979955,21.0,2
aaronha01,1956,153,0.0,609,106,200,34,14,26,92.0,2.0,4.0,37,54.0,6.0,2.0,5.0,7.0,21.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,660.0,0.3284072249589491,0.3648854961832061,0.5582922824302134,0.9231777786134197,0.2298850574712643,0.3246268656716418,0.056060606060606,0.0818181818181818,24.41211826868098,22.0,Hank Aaron,0.7344215351173983,-0.0742225323488173,-0.0504827801454329,0.0692806457451887,0.0943336250810158,23,False,537.0666019109816,572.0,48.82423653736196,484.0,1954,2,0,False,False,True,False,False,False,False,False,True,False,False,0.07799196823745375,-0.041490990576350105,-0.023989200283969225,-2.2416107382550337,0.046952575308897015,-0.4504442399458348,22.0,2
aaronha01,1957,151,0.0,615,118,198,27,6,44,132.0,1.0,1.0,57,58.0,15.0,0.0,0.0,3.0,13.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,675.0,0.3219512195121951,0.3777777777777777,0.6,0.9777777777777776,0.2780487804878048,0.2984496124031007,0.0844444444444444,0.0859259259259259,24.41211826868098,23.0,Hank Aaron,0.7344215351173983,-0.0742225323488173,-0.0504827801454329,0.0692806457451887,0.0943336250810158,23,False,561.4787201796626,1012.0,24.41211826868098,529.0,1954,3,0,False,False,True,False,False,False,False,False,True,False,False,0.134383289367084,-0.003244908086639367,-0.024807814323695748,-3.562913907284768,0.01574577115815423,-0.4035918171566202,23.0,2
aaronha01,1958,153,0.0,601,109,196,34,4,30,95.0,4.0,1.0,59,49.0,16.0,1.0,0.0,3.0,21.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,664.0,0.3261231281198003,0.3855421686746988,0.5457570715474209,0.9312992402221196,0.2196339434276206,0.3161904761904762,0.0888554216867469,0.0737951807228915,24.41211826868098,24.0,Hank Aaron,0.7344215351173983,-0.0742225323488173,-0.0504827801454329,0.0692806457451887,0.0943336250810158,23,False,585.8908384483435,720.0,97.64847307472392,576.0,1954,4,0,False,False,True,False,False,False,False,False,True,False,False,0.07285569051139087,-0.000815469983243236,-0.038189948338016505,-0.19736842105263186,0.03595062271774846,-0.48533798002807416,24.0,2
aaronha01,1959,154,0.0,629,116,223,46,7,39,123.0,8.0,0.0,51,54.0,17.0,4.0,0.0,9.0,19.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,693.0,0.3545310015898251,0.4011544011544011,0.6359300476947536,1.0370844488491548,0.2813990461049284,0.3376146788990826,0.0735930735930736,0.0779220779220779,24.41211826868098,25.0,Hank Aaron,0.7344215351173983,-0.0742225323488173,-0.0504827801454329,0.0692806457451887,0.0943336250810158,23,False,610.3029567170245,975.0,195.29694614944785,625.0,1954,5,0,False,False,True,False,False,False,False,False,True,False,False,0.13614602586163987,-0.01668259931379086,-0.03908228549291996,3.0131578947368425,0.05562578243574445,-0.37902387741380394,25.0,2
aaronha01,1960,153,0.0,590,102,172,20,11,40,126.0,16.0,7.0,60,63.0,13.0,2.0,0.0,12.0,8.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,664.0,0.2915254237288135,0.3524096385542168,0.5661016949152542,0.918511333469471,0.2745762711864406,0.2645290581162324,0.0903614457831325,0.0948795180722891,24.41211826868098,26.0,Hank Aaron,0.7344215351173983,-0.0742225323488173,-0.0504827801454329,0.0692806457451887,0.0943336250810158,23,False,634.7150749857055,1040.0,390.5938922988957,676.0,1954,6,1,False,False,True,False,False,False,False,False,True,False,False,0.12863740745584362,4.755200546245619e-05,-0.026715159368686667,10.605263157894736,-0.016714373952961714,-0.5758803919285036,26.0,2
aaronha01,1961,155,0.0,603,115,197,39,10,34,120.0,21.0,9.0,56,64.0,20.0,2.0,1.0,9.0,16.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,671.0,0.3266998341625207,0.3805970149253731,0.593698175787728,0.9742951907131012,0.2669983416252072,0.3171206225680933,0.0834575260804769,0.0953800298062593,24.41211826868098,27.0,Hank Aaron,0.7344215351173983,-0.0742225323488173,-0.0504827801454329,0.0692806457451887,0.0943336250810158,23,False,659.1271932543865,918.0,512.6544836423006,729.0,1954,7,1,False,False,True,False,False,False,False,False,True,False,False,0.11633457963565644,-0.011631007878918978,-0.026306643934285792,15.796703296703296,0.032809716328084326,-0.3932898392142654,27.0,3
aaronha01,1962,156,0.0,592,127,191,28,6,45,128.0,15.0,7.0,66,73.0,14.0,3.0,0.0,6.0,14.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,667.0,0.3226351351351351,0.3898050974512743,0.6182432432432432,1.0080483406945175,0.295608108108108,0.3041666666666666,0.0989505247376311,0.1094452773613193,24.41211826868098,28.0,Hank Aaron,0.7344215351173983,-0.0742225323488173,-0.0504827801454329,0.0692806457451887,0.0943336250810158,23,False,683.5393115230675,1260.0,366.18177403021474,784.0,1954,8,1,False,False,True,False,False,False,False,False,True,False,False,0.14763935016240506,0.007400160761833613,-0.014387357330783182,8.507853403141361,0.019644191615745543,-0.2742246998568234,28.0,3
aaronha01,1963,161,0.0,631,121,201,29,4,44,130.0,31.0,5.0,78,94.0,18.0,0.0,0.0,5.0,11.0,0.0,ML1,NL,1934.0,Hank,Aaron,180.0,72.0,714.0,0.3185419968304279,0.3907563025210084,0.5863708399366085,0.9771271424576168,0.2678288431061806,0.3152610441767068,0.1092436974789916,0.1316526610644257,24.41211826868098,29.0,Hank Aaron,0.7344215351173983,-0.0742225323488173,-0.0504827801454329,0.0692806457451887,0.0943336250810158,23,False,707.9514297917484,1276.0,756.7756663291104,841.0,1954,9,1,False,False,True,False,False,False,False,False,True,False,False,0.132469723429807,0.02820975712395156,-0.004754429001776028,25.467005076142133,0.039320986624683696,-0.28197656288746487,29.0,3
